cnty_fips,display_name,,Urban-Rural Status,,,,,,
8093,"""Park, (CO)""",,Suburban,,,,,,
8095,"""Phillips, (CO)""",,Rural,,,,,,
8099,"""Prowers, (CO)""",,Rural,,,,,,
8101,"""Pueblo, (CO)""",,Small City,,,,,,
8105,"""Rio Grande, (CO)""",,Rural,,,,,,
8109,"""Saguache, (CO)""",,Rural,,,,,,
8115,"""Sedgwick, (CO)""",,Rural,,,,,,
8117,"""Summit, (CO)""",,Rural,,,,,,
8119,"""Teller, (CO)""",,Small City,,,,,,
8121,"""Washington, (CO)""",,Rural,,,,,,
8123,"""Weld, (CO)""",,Small City,,,,,,
8125,"""Yuma, (CO)""",,Rural,,,,,,
19001,"""Adair, (IA)""",,Rural,,,,,,
19003,"""Adams, (IA)""",,Rural,,,,,,
19009,"""Audubon, (IA)""",,Rural,,,,,,
19015,"""Boone, (IA)""",,Rural,,,,,,
19021,"""Buena Vista, (IA)""",,Rural,,,,,,
19025,"""Calhoun, (IA)""",,Rural,,,,,,
19027,"""Carroll, (IA)""",,Rural,,,,,,
19029,"""Cass, (IA)""",,Rural,,,,,,
19035,"""Cherokee, (IA)""",,Rural,,,,,,
19039,"""Clarke, (IA)""",,Rural,,,,,,
19041,"""Clay, (IA)""",,Rural,,,,,,
19047,"""Crawford, (IA)""",,Rural,,,,,,
19049,"""Dallas, (IA)""",,Small City,,,,,,
19053,"""Decatur, (IA)""",,Rural,,,,,,
19059,"""Dickinson, (IA)""",,Rural,,,,,,
19063,"""Emmet, (IA)""",,Rural,,,,,,
19071,"""Fremont, (IA)""",,Rural,,,,,,
19073,"""Greene, (IA)""",,Rural,,,,,,
19077,"""Guthrie, (IA)""",,Small City,,,,,,
19079,"""Hamilton, (IA)""",,Rural,,,,,,
19081,"""Hancock, (IA)""",,Rural,,,,,,
19085,"""Harrison, (IA)""",,Small City,,,,,,
